text,subject
Atoms bond to form molecules by sharing or transferring electrons. ; Explain briefly. (Ref: 35),Science
"Describe the difference between potential and kinetic energy. , Discuss with examples. (Ref: 74)",Science
"Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. , Why is this important? (Ref: 69)",Maths
"Can you pass me the salt, please? . Apply this to modern scenarios. (Ref: 13)",English
Photosynthesis is the process by which green plants create food using sunlight. . Include real-world data. (Ref: 93),Science
Have you seen my phone? I just had it a second ago. : Include key facts. (Ref: 93),English
The Industrial Revolution began in the late 18th century and transformed societies. . Discuss with examples. (Ref: 12),History
The Industrial Revolution began in the late 18th century and transformed societies. ; Include key facts. (Ref: 69),History
Solve for x: 2x + 3 = 11. ; Can you justify this? (Ref: 2),Maths
Newton's First Law states that an object in motion stays in motion unless acted upon by a force. ; What is the implication? (Ref: 88),Science
"Water boils at 100°C under normal atmospheric pressure. Explain why this happens. , Discuss with examples. (Ref: 60)",Science
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ? Include real-world data. (Ref: 39),Maths
"My favorite subject in school is definitely art. , How is this calculated? (Ref: 50)",English
An acid reacts with a base to produce salt and water. This is called a neutralization reaction. ; What is the implication? (Ref: 33),Science
Let’s make a grocery list so we don’t forget anything. : Include key facts. (Ref: 62),English
"Explain the causes and effects of World War I. , How is this calculated? (Ref: 76)",History
What time does your class end today? ; Apply this to modern scenarios. (Ref: 81),English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ? What is the implication? (Ref: 94),Maths
We should try that new restaurant downtown this weekend. ? Why is this important? (Ref: 77),English
The area of a circle is given by πr^2. Calculate the area when r = 5. . Can you justify this? (Ref: 34),Maths
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ; Apply this to modern scenarios. (Ref: 58),Maths
Photosynthesis is the process by which green plants create food using sunlight. . How is this calculated? (Ref: 88),Science
We should try that new restaurant downtown this weekend. ? Refer to the chart above. (Ref: 66),English
The Industrial Revolution began in the late 18th century and transformed societies. . How is this calculated? (Ref: 10),History
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. . Apply this to modern scenarios. (Ref: 91),Maths
The human heart has four chambers and pumps blood throughout the body. ; What is the implication? (Ref: 65),Science
"That movie was really interesting, don’t you think? ; Why is this important? (Ref: 76)",English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. : Refer to the chart above. (Ref: 24),Maths
"That movie was really interesting, don’t you think? : Can you justify this? (Ref: 97)",English
A linear equation is an equation between two variables that gives a straight line when plotted. : Describe in your own words. (Ref: 26),Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. : How do we use this in real life? (Ref: 79),History
"Solve for x: 2x + 3 = 11. , Apply this to modern scenarios. (Ref: 93)",Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ? How is this calculated? (Ref: 82),History
Atoms bond to form molecules by sharing or transferring electrons. ; Why is this important? (Ref: 57),Science
Atoms bond to form molecules by sharing or transferring electrons. ; Can you justify this? (Ref: 96),Science
Graph the rate of a chemical reaction over time and explain the curve. ; Refer to the chart above. (Ref: 67),Maths
"I’m running late, I’ll be there in ten minutes. ? Include key facts. (Ref: 45)",English
"The area of a circle is given by πr^2. Calculate the area when r = 5. , How do we use this in real life? (Ref: 50)",Maths
"The Industrial Revolution began in the late 18th century and transformed societies. , Refer to the chart above. (Ref: 55)",History
"That movie was really interesting, don’t you think? . Describe in your own words. (Ref: 37)",English
The Industrial Revolution began in the late 18th century and transformed societies. : What is the implication? (Ref: 60),History
What time does your class end today? : Explain briefly. (Ref: 77),English
Graph the rate of a chemical reaction over time and explain the curve. : Explain briefly. (Ref: 9),Maths
"A linear equation is an equation between two variables that gives a straight line when plotted. , Include key facts. (Ref: 3)",Maths
Photosynthesis is the process by which green plants create food using sunlight. ; Apply this to modern scenarios. (Ref: 13),Science
The area of a circle is given by πr^2. Calculate the area when r = 5. ? Discuss with examples. (Ref: 1),Maths
Graph the rate of a chemical reaction over time and explain the curve. ; Discuss with examples. (Ref: 87),Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. . Include real-world data. (Ref: 81),History
The Industrial Revolution began in the late 18th century and transformed societies. : Apply this to modern scenarios. (Ref: 29),History
"He’s really good at fixing things around the house. , Explain briefly. (Ref: 73)",English
Can you explain how this remote works? ; Refer to the chart above. (Ref: 39),English
"Explain the causes and effects of World War I. , Discuss with examples. (Ref: 43)",History
"It looks like it might rain, should we take an umbrella? : Refer to the chart above. (Ref: 92)",English
We should try that new restaurant downtown this weekend. ; Explain briefly. (Ref: 100),English
"A linear equation is an equation between two variables that gives a straight line when plotted. , Explain briefly. (Ref: 96)",Maths
Atoms bond to form molecules by sharing or transferring electrons. ; Discuss with examples. (Ref: 60),Science
The Industrial Revolution began in the late 18th century and transformed societies. : Refer to the chart above. (Ref: 41),History
He’s really good at fixing things around the house. ; Describe in your own words. (Ref: 67),English
She enjoys reading mystery novels in her free time. ? How do we use this in real life? (Ref: 90),English
"Can you explain how this remote works? , How is this calculated? (Ref: 48)",English
"A linear equation is an equation between two variables that gives a straight line when plotted. , What is the implication? (Ref: 67)",Maths
"The Industrial Revolution began in the late 18th century and transformed societies. , Apply this to modern scenarios. (Ref: 98)",History
The Industrial Revolution began in the late 18th century and transformed societies. : Explain briefly. (Ref: 97),History
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. . Apply this to modern scenarios. (Ref: 24),Science
"Can you explain how this remote works? , Apply this to modern scenarios. (Ref: 72)",English
Explain the causes and effects of World War I. : Why is this important? (Ref: 69),History
"Calculate the growth rate of bacteria in a lab experiment using exponential functions. , Discuss with examples. (Ref: 73)",Maths
"Graph the rate of a chemical reaction over time and explain the curve. , Describe in your own words. (Ref: 96)",Maths
My favorite subject in school is definitely art. . How is this calculated? (Ref: 38),English
"We should try that new restaurant downtown this weekend. , How is this calculated? (Ref: 60)",English
Solve for x: 2x + 3 = 11. . Include key facts. (Ref: 97),Maths
"Solve for x: 2x + 3 = 11. , Refer to the chart above. (Ref: 40)",Maths
Describe the difference between potential and kinetic energy. : Refer to the chart above. (Ref: 88),Science
"Water boils at 100°C under normal atmospheric pressure. Explain why this happens. , Apply this to modern scenarios. (Ref: 84)",Science
The Industrial Revolution began in the late 18th century and transformed societies. : Refer to the chart above. (Ref: 13),History
"That movie was really interesting, don’t you think? : Describe in your own words. (Ref: 15)",English
Describe the difference between potential and kinetic energy. : Discuss with examples. (Ref: 70),Science
We have to leave early to avoid the morning traffic. : How is this calculated? (Ref: 23),English
"The Industrial Revolution began in the late 18th century and transformed societies. , Include real-world data. (Ref: 41)",History
Atoms bond to form molecules by sharing or transferring electrons. ; How is this calculated? (Ref: 35),Science
Atoms are the basic building blocks of matter. : Include key facts. (Ref: 14),Science
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. : Apply this to modern scenarios. (Ref: 15),Science
Explain the causes and effects of World War I. . Apply this to modern scenarios. (Ref: 12),History
I'm not sure what to wear to the event tomorrow. . Apply this to modern scenarios. (Ref: 29),English
The Industrial Revolution began in the late 18th century and transformed societies. ? How is this calculated? (Ref: 2),History
"The area of a circle is given by πr^2. Calculate the area when r = 5. , How is this calculated? (Ref: 50)",Maths
The periodic table is organized by increasing atomic number. . Explain briefly. (Ref: 53),Science
The Industrial Revolution began in the late 18th century and transformed societies. : Apply this to modern scenarios. (Ref: 28),History
Explain the causes and effects of World War I. : Apply this to modern scenarios. (Ref: 6),History
We should try that new restaurant downtown this weekend. ? Describe in your own words. (Ref: 21),English
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ; Refer to the chart above. (Ref: 27),History
Explain the causes and effects of World War I. : Explain briefly. (Ref: 1),History
Graph the rate of a chemical reaction over time and explain the curve. ; Discuss with examples. (Ref: 52),Maths
The area of a circle is given by πr^2. Calculate the area when r = 5. . Describe in your own words. (Ref: 9),Maths
"Calculate the growth rate of bacteria in a lab experiment using exponential functions. , Apply this to modern scenarios. (Ref: 91)",Maths
Have you seen my phone? I just had it a second ago. ? Refer to the chart above. (Ref: 37),English
"I’m running late, I’ll be there in ten minutes. . Can you justify this? (Ref: 55)",English
"Explain the causes and effects of World War I. , Can you justify this? (Ref: 69)",History
"The Industrial Revolution began in the late 18th century and transformed societies. , Refer to the chart above. (Ref: 79)",History
Describe the difference between potential and kinetic energy. . Explain briefly. (Ref: 21),Science
I'm thinking of learning how to play the guitar. . Why is this important? (Ref: 16),English
Graph the rate of a chemical reaction over time and explain the curve. : What is the implication? (Ref: 91),Maths
"What time does your class end today? , Describe in your own words. (Ref: 72)",English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; Include key facts. (Ref: 35),Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ? Include real-world data. (Ref: 14),History
"He’s really good at fixing things around the house. , Discuss with examples. (Ref: 100)",English
"The process of evolution explains how species change over time through natural selection. , Include real-world data. (Ref: 35)",Science
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. . How do we use this in real life? (Ref: 40),Maths
The process of evolution explains how species change over time through natural selection. : How do we use this in real life? (Ref: 83),Science
"Explain the causes and effects of World War I. , Explain briefly. (Ref: 37)",History
"A linear equation is an equation between two variables that gives a straight line when plotted. , Explain briefly. (Ref: 72)",Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. . Include real-world data. (Ref: 82),History
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. : How is this calculated? (Ref: 65),Science
Newton's First Law states that an object in motion stays in motion unless acted upon by a force. . Explain briefly. (Ref: 96),Science
Have you seen my phone? I just had it a second ago. ? Include key facts. (Ref: 40),English
Speed is calculated by dividing distance by time. . Include real-world data. (Ref: 35),Science
"A linear equation is an equation between two variables that gives a straight line when plotted. , Include real-world data. (Ref: 49)",Maths
"Atoms bond to form molecules by sharing or transferring electrons. , Explain briefly. (Ref: 88)",Science
Speed is calculated by dividing distance by time. : Can you justify this? (Ref: 72),Science
Explain the causes and effects of World War I. . How do we use this in real life? (Ref: 44),History
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; How do we use this in real life? (Ref: 2),Maths
Photosynthesis is the process by which green plants create food using sunlight. : Include real-world data. (Ref: 10),Science
"Calculate the growth rate of bacteria in a lab experiment using exponential functions. , Include key facts. (Ref: 3)",Maths
"It looks like it might rain, should we take an umbrella? : How do we use this in real life? (Ref: 92)",English
"Describe the difference between potential and kinetic energy. , Refer to the chart above. (Ref: 99)",Science
Describe the difference between potential and kinetic energy. . Describe in your own words. (Ref: 8),Science
"The Industrial Revolution began in the late 18th century and transformed societies. , Why is this important? (Ref: 98)",History
"My favorite subject in school is definitely art. , Include real-world data. (Ref: 76)",English
What’s the best way to get to the train station from here? ? Include key facts. (Ref: 36),English
"It looks like it might rain, should we take an umbrella? : Can you justify this? (Ref: 33)",English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; Why is this important? (Ref: 3),Maths
Calculate the growth rate of bacteria in a lab experiment using exponential functions. . Why is this important? (Ref: 8),Maths
"I usually go for a walk after dinner to relax. , Refer to the chart above. (Ref: 6)",English
Photosynthesis is the process by which green plants create food using sunlight. . Explain briefly. (Ref: 23),Science
"The Industrial Revolution began in the late 18th century and transformed societies. , Include real-world data. (Ref: 84)",History
Ancient civilizations like Mesopotamia contributed greatly to writing systems. : Why is this important? (Ref: 68),History
"Graph the rate of a chemical reaction over time and explain the curve. , Describe in your own words. (Ref: 83)",Maths
Explain the causes and effects of World War I. . Include key facts. (Ref: 91),History
I usually go for a walk after dinner to relax. ; How is this calculated? (Ref: 1),English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; How is this calculated? (Ref: 78),Maths
Describe the difference between potential and kinetic energy. : Describe in your own words. (Ref: 35),Science
She enjoys reading mystery novels in her free time. : Refer to the chart above. (Ref: 14),English
Atoms are the basic building blocks of matter. ; Apply this to modern scenarios. (Ref: 34),Science
Atoms bond to form molecules by sharing or transferring electrons. : Can you justify this? (Ref: 66),Science
Describe the difference between potential and kinetic energy. : What is the implication? (Ref: 16),Science
The Industrial Revolution began in the late 18th century and transformed societies. ? What is the implication? (Ref: 7),History
She enjoys reading mystery novels in her free time. : How is this calculated? (Ref: 38),English
The Industrial Revolution began in the late 18th century and transformed societies. ; Discuss with examples. (Ref: 80),History
The Industrial Revolution began in the late 18th century and transformed societies. : How do we use this in real life? (Ref: 47),History
Graph the rate of a chemical reaction over time and explain the curve. ; Why is this important? (Ref: 97),Maths
The Industrial Revolution began in the late 18th century and transformed societies. : What is the implication? (Ref: 88),History
I usually go for a walk after dinner to relax. . Can you justify this? (Ref: 56),English
"Explain the causes and effects of World War I. , Include key facts. (Ref: 39)",History
The Industrial Revolution began in the late 18th century and transformed societies. . What is the implication? (Ref: 91),History
The Industrial Revolution began in the late 18th century and transformed societies. . What is the implication? (Ref: 19),History
I usually go for a walk after dinner to relax. ? Discuss with examples. (Ref: 90),English
The Industrial Revolution began in the late 18th century and transformed societies. : Refer to the chart above. (Ref: 40),History
"An acid reacts with a base to produce salt and water. This is called a neutralization reaction. , Can you justify this? (Ref: 32)",Science
"The periodic table is organized by increasing atomic number. , What is the implication? (Ref: 46)",Science
The Industrial Revolution began in the late 18th century and transformed societies. ; Can you justify this? (Ref: 68),History
Describe the difference between potential and kinetic energy. . Refer to the chart above. (Ref: 87),Science
The area of a circle is given by πr^2. Calculate the area when r = 5. : How do we use this in real life? (Ref: 38),Maths
I usually go for a walk after dinner to relax. ; Include key facts. (Ref: 19),English
"Newton's First Law states that an object in motion stays in motion unless acted upon by a force. , Why is this important? (Ref: 90)",Science
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; Refer to the chart above. (Ref: 71),Maths
My favorite subject in school is definitely art. . Include real-world data. (Ref: 34),English
A linear equation is an equation between two variables that gives a straight line when plotted. : Describe in your own words. (Ref: 87),Maths
"I’m running late, I’ll be there in ten minutes. ? Discuss with examples. (Ref: 17)",English
The area of a circle is given by πr^2. Calculate the area when r = 5. ; Include key facts. (Ref: 41),Maths
"Can you pass me the salt, please? ? How do we use this in real life? (Ref: 87)",English
Explain the causes and effects of World War I. . What is the implication? (Ref: 33),History
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ; Refer to the chart above. (Ref: 75),Maths
"Could you help me with my homework later? , How do we use this in real life? (Ref: 83)",English
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ; Include real-world data. (Ref: 34),History
Could you help me with my homework later? . How do we use this in real life? (Ref: 65),English
The periodic table is organized by increasing atomic number. ? Describe in your own words. (Ref: 79),Science
Can you explain how this remote works? . Explain briefly. (Ref: 89),English
Graph the rate of a chemical reaction over time and explain the curve. ; Explain briefly. (Ref: 2),Maths
Describe the difference between potential and kinetic energy. ? Describe in your own words. (Ref: 8),Science
I'm thinking of learning how to play the guitar. . How do we use this in real life? (Ref: 5),English
"The Industrial Revolution began in the late 18th century and transformed societies. , Apply this to modern scenarios. (Ref: 85)",History
My favorite subject in school is definitely art. : Can you justify this? (Ref: 81),English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; Include key facts. (Ref: 95),Maths
I'm thinking of learning how to play the guitar. . Refer to the chart above. (Ref: 51),English
Describe the difference between potential and kinetic energy. ; Can you justify this? (Ref: 46),Science
We should try that new restaurant downtown this weekend. ; Include real-world data. (Ref: 40),English
Ancient civilizations like Mesopotamia contributed greatly to writing systems. . Discuss with examples. (Ref: 84),History
She said she’ll call you back once the meeting is over. . What is the implication? (Ref: 99),English
Describe the difference between potential and kinetic energy. : Refer to the chart above. (Ref: 54),Science
"Explain the causes and effects of World War I. , Why is this important? (Ref: 30)",History
"The process of evolution explains how species change over time through natural selection. , What is the implication? (Ref: 36)",Science
Atoms are the basic building blocks of matter. ; How do we use this in real life? (Ref: 45),Science
The Industrial Revolution began in the late 18th century and transformed societies. ? Why is this important? (Ref: 67),History
The Industrial Revolution began in the late 18th century and transformed societies. : Can you justify this? (Ref: 97),History
The process of evolution explains how species change over time through natural selection. . How is this calculated? (Ref: 84),Science
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. ? Include real-world data. (Ref: 96),Science
Speed is calculated by dividing distance by time. : How is this calculated? (Ref: 49),Science
"The Industrial Revolution began in the late 18th century and transformed societies. , How do we use this in real life? (Ref: 35)",History
"Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. , How do we use this in real life? (Ref: 73)",Maths
"The Industrial Revolution began in the late 18th century and transformed societies. , Describe in your own words. (Ref: 97)",History
Do you remember where we parked the car? . Describe in your own words. (Ref: 37),English
"It looks like it might rain, should we take an umbrella? ? Explain briefly. (Ref: 99)",English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. . Include real-world data. (Ref: 15),Maths
An acid reacts with a base to produce salt and water. This is called a neutralization reaction. : Explain briefly. (Ref: 52),Science
Photosynthesis is the process by which green plants create food using sunlight. ; How do we use this in real life? (Ref: 72),Science
A linear equation is an equation between two variables that gives a straight line when plotted. ? Apply this to modern scenarios. (Ref: 73),Maths
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. . Explain briefly. (Ref: 81),Maths
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ? Why is this important? (Ref: 8),Maths
"Atoms are the basic building blocks of matter. , Why is this important? (Ref: 50)",Science
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ? How is this calculated? (Ref: 39),Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ; Refer to the chart above. (Ref: 20),History
"That movie was really interesting, don’t you think? ? Include key facts. (Ref: 3)",English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. : What is the implication? (Ref: 56),Maths
"I’m running late, I’ll be there in ten minutes. ; Discuss with examples. (Ref: 84)",English
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. ? What is the implication? (Ref: 91),Science
Atoms are the basic building blocks of matter. ? What is the implication? (Ref: 3),Science
I'm thinking of learning how to play the guitar. . What is the implication? (Ref: 46),English
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. ; Why is this important? (Ref: 58),Maths
What time does your class end today? ? How do we use this in real life? (Ref: 85),English
Photosynthesis is the process by which green plants create food using sunlight. ; Refer to the chart above. (Ref: 24),Science
Solve for x: 2x + 3 = 11. ? Discuss with examples. (Ref: 20),Maths
"Ancient civilizations like Mesopotamia contributed greatly to writing systems. , Include key facts. (Ref: 46)",History
Photosynthesis is the process by which green plants create food using sunlight. : How is this calculated? (Ref: 50),Science
"I’m running late, I’ll be there in ten minutes. : Describe in your own words. (Ref: 84)",English
Explain the causes and effects of World War I. : Describe in your own words. (Ref: 78),History
An acid reacts with a base to produce salt and water. This is called a neutralization reaction. ? Discuss with examples. (Ref: 33),Science
Explain the causes and effects of World War I. ? Why is this important? (Ref: 75),History
"Can you pass me the salt, please? . Can you justify this? (Ref: 56)",English
"Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. , What is the implication? (Ref: 83)",Maths
Calculate the growth rate of bacteria in a lab experiment using exponential functions. : Explain briefly. (Ref: 54),Maths
Solve for x: 2x + 3 = 11. . Refer to the chart above. (Ref: 25),Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. : How do we use this in real life? (Ref: 40),History
I'm not sure what to wear to the event tomorrow. : Refer to the chart above. (Ref: 5),English
Do you remember where we parked the car? ? How do we use this in real life? (Ref: 79),English
Can you explain how this remote works? ; Refer to the chart above. (Ref: 76),English
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; Can you justify this? (Ref: 36),Maths
Speed is calculated by dividing distance by time. ? How do we use this in real life? (Ref: 59),Science
"It looks like it might rain, should we take an umbrella? ; Include key facts. (Ref: 84)",English
The area of a circle is given by πr^2. Calculate the area when r = 5. . Apply this to modern scenarios. (Ref: 51),Maths
The area of a circle is given by πr^2. Calculate the area when r = 5. ; Explain briefly. (Ref: 14),Maths
The process of evolution explains how species change over time through natural selection. ; Refer to the chart above. (Ref: 30),Science
A linear equation is an equation between two variables that gives a straight line when plotted. ; Refer to the chart above. (Ref: 53),Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. . Why is this important? (Ref: 92),History
Can you explain how this remote works? ? Why is this important? (Ref: 7),English
"Have you seen my phone? I just had it a second ago. , How do we use this in real life? (Ref: 76)",English
"That movie was really interesting, don’t you think? . Apply this to modern scenarios. (Ref: 2)",English
The Industrial Revolution began in the late 18th century and transformed societies. : Describe in your own words. (Ref: 43),History
Explain the causes and effects of World War I. ? Refer to the chart above. (Ref: 43),History
Newton's First Law states that an object in motion stays in motion unless acted upon by a force. : What is the implication? (Ref: 100),Science
"Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. , Include real-world data. (Ref: 55)",Maths
Graph the rate of a chemical reaction over time and explain the curve. . Explain briefly. (Ref: 70),Maths
The area of a circle is given by πr^2. Calculate the area when r = 5. . Describe in your own words. (Ref: 18),Maths
"The Industrial Revolution began in the late 18th century and transformed societies. , Can you justify this? (Ref: 57)",History
What time does your class end today? ; How do we use this in real life? (Ref: 98),English
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. ? Describe in your own words. (Ref: 69),Science
"It looks like it might rain, should we take an umbrella? : Discuss with examples. (Ref: 84)",English
Atoms are the basic building blocks of matter. . How is this calculated? (Ref: 47),Science
My favorite subject in school is definitely art. ? Include real-world data. (Ref: 71),English
"The Industrial Revolution began in the late 18th century and transformed societies. , Why is this important? (Ref: 25)",History
Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. : Include real-world data. (Ref: 81),Maths
"I’m running late, I’ll be there in ten minutes. : How do we use this in real life? (Ref: 1)",English
The area of a circle is given by πr^2. Calculate the area when r = 5. . Include real-world data. (Ref: 50),Maths
Ancient civilizations like Mesopotamia contributed greatly to writing systems. ? What is the implication? (Ref: 19),History
Calculate the growth rate of bacteria in a lab experiment using exponential functions. ; Apply this to modern scenarios. (Ref: 63),Maths
Solve for x: 2x + 3 = 11. . Include key facts. (Ref: 46),Maths
The Industrial Revolution began in the late 18th century and transformed societies. . How is this calculated? (Ref: 87),History
An acid reacts with a base to produce salt and water. This is called a neutralization reaction. . What is the implication? (Ref: 75),Science
I'm thinking of learning how to play the guitar. . How is this calculated? (Ref: 84),English
Solve for x: 2x + 3 = 11. ; Describe in your own words. (Ref: 34),Maths
Explain the causes and effects of World War I. . Discuss with examples. (Ref: 84),History
Solve for x: 2x + 3 = 11. ; Explain briefly. (Ref: 39),Maths
"I’m running late, I’ll be there in ten minutes. ? How do we use this in real life? (Ref: 8)",English
What time does your class end today? : What is the implication? (Ref: 52),English
She said she’ll call you back once the meeting is over. ; How do we use this in real life? (Ref: 10),English
"Use the formula F = ma to calculate the force when mass is 10kg and acceleration is 2m/s^2. , Explain briefly. (Ref: 55)",Maths
The Industrial Revolution began in the late 18th century and transformed societies. : How is this calculated? (Ref: 15),History
Explain the causes and effects of World War I. ; How is this calculated? (Ref: 76),History
Atoms bond to form molecules by sharing or transferring electrons. : Why is this important? (Ref: 41),Science
Solve for x: 2x + 3 = 11. . Apply this to modern scenarios. (Ref: 12),Maths
My favorite subject in school is definitely art. ? Why is this important? (Ref: 84),English
Photosynthesis is the process by which green plants create food using sunlight. : What is the implication? (Ref: 5),Science
The Industrial Revolution began in the late 18th century and transformed societies. : What is the implication? (Ref: 23),History
The Industrial Revolution began in the late 18th century and transformed societies. : How do we use this in real life? (Ref: 57),History
Water boils at 100°C under normal atmospheric pressure. Explain why this happens. : Can you justify this? (Ref: 31),Science
"That movie was really interesting, don’t you think? : Include key facts. (Ref: 33)",English
The periodic table is organized by increasing atomic number. ? Refer to the chart above. (Ref: 88),Science
"Graph the rate of a chemical reaction over time and explain the curve. , Describe in your own words. (Ref: 55)",Maths
"Explain the causes and effects of World War I. , Why is this important? (Ref: 91)",History
What time does your class end today? ? Include key facts. (Ref: 53),English
I'm not sure what to wear to the event tomorrow. ; Explain briefly. (Ref: 55),English
Explain the function of mitochondria in a cell. . Include key facts. (Ref: 9),Science
Calculate the growth rate of bacteria in a lab experiment using exponential functions. : Can you justify this? (Ref: 18),Maths
"Photosynthesis is the process by which green plants create food using sunlight. , Include key facts. (Ref: 23)",Science
Explain the causes and effects of World War I. : Apply this to modern scenarios. (Ref: 44),History
"A linear equation is an equation between two variables that gives a straight line when plotted. , Include real-world data. (Ref: 89)",Maths
"It looks like it might rain, should we take an umbrella? , How do we use this in real life? (Ref: 41)",English
Describe the difference between potential and kinetic energy. . Include real-world data. (Ref: 100),Science
