text,subject
Define a rational number. (Ref: 2311),Maths
Salt dissolves faster in hot water. (Ref: 1902),Science
Describe the achievements of Chandragupta Maurya. (Ref: 1948),History
She bought 3 apples for ₹15 each. (Ref: 2189),Maths
Boiling water kills most bacteria. (Ref: 1341),Science
Salt dissolves faster in hot water. (Ref: 1454),Science
Explain Mendel’s law of inheritance. (Ref: 1701),Science
The Indus Valley had planned drainage systems. (Ref: 274),History
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 1293),Maths
The Red Fort was built by Shah Jahan. (Ref: 931),History
Identify the verb in this sentence. (Ref: 1178),English
Plastic takes centuries to decompose. (Ref: 2367),Science
Wearing a helmet reduces head injury risk. (Ref: 1951),Science
It's going to rain later today. (Ref: 2095),English
The Mauryas unified large parts of India. (Ref: 2352),History
What is the quadratic formula? (Ref: 2247),Maths
What was the significance of the Battle of Panipat? (Ref: 977),History
Magnets can attract some metals. (Ref: 373),Science
What is the law of conservation of mass? (Ref: 115),Science
Describe the water cycle. (Ref: 1676),Science
Explain the distributive property. (Ref: 2464),Maths
Correct the grammatical error in this statement. (Ref: 781),English
We shared the pizza equally among 4 people. (Ref: 2434),Maths
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 1866),History
Describe the water cycle. (Ref: 1952),Science
Use 'however' in a complex sentence. (Ref: 1224),English
What is the quadratic formula? (Ref: 1563),Maths
What is the difference between mass and weight? (Ref: 1120),Science
The Maratha empire resisted the Mughals. (Ref: 225),History
Who were the main warriors in the First Battle of Tarain? (Ref: 1531),History
Explain the rule of Rajaraja Chola. (Ref: 356),History
He ran 5 km in the morning. (Ref: 1333),Maths
Rewrite the sentence in passive voice. (Ref: 1752),English
What is the function of an adverb in a sentence? (Ref: 1337),English
I paid ₹120 for 2 books. (Ref: 1890),Maths
He's been learning French recently. (Ref: 44),English
What is a compound-complex sentence? (Ref: 1964),English
State the Pythagorean theorem. (Ref: 1267),Maths
They travelled 250 km in 5 hours. (Ref: 179),Maths
Rewrite the sentence in passive voice. (Ref: 1202),English
What is the area of a triangle with base 5cm and height 4cm? (Ref: 1153),Maths
Describe the conquests of Samudragupta. (Ref: 1468),History
Describe the water cycle. (Ref: 1317),Science
I enjoy reading novels before bed. (Ref: 217),English
Explain Mendel’s law of inheritance. (Ref: 1255),Science
Define the principle of buoyancy. (Ref: 2206),Science
Plastic takes centuries to decompose. (Ref: 715),Science
What is the function of an adverb in a sentence? (Ref: 1320),English
Explain Mendel’s law of inheritance. (Ref: 45),Science
I paid ₹120 for 2 books. (Ref: 1969),Maths
The Red Fort was built by Shah Jahan. (Ref: 1069),History
It's going to rain later today. (Ref: 1144),English
What is a compound-complex sentence? (Ref: 317),English
What is the probability of rolling a 3 on a die? (Ref: 130),Maths
She scored 85 out of 100 in maths. (Ref: 1106),Maths
Correct the grammatical error in this statement. (Ref: 700),English
Rewrite the sentence in passive voice. (Ref: 512),English
She loves drinking coffee in the morning. (Ref: 491),English
How do you use the present perfect tense? (Ref: 1267),English
Solve: 3x - 4 = 11 (Ref: 668),Maths
Describe the impact of Akbar’s rule in India. (Ref: 1207),History
Turning off lights saves energy. (Ref: 2239),Science
What is the area of a triangle with base 5cm and height 4cm? (Ref: 1944),Maths
What is the function of an adverb in a sentence? (Ref: 1741),English
Wearing a helmet reduces head injury risk. (Ref: 354),Science
How do you use the present perfect tense? (Ref: 1657),English
She bought 3 apples for ₹15 each. (Ref: 1033),Maths
The Qutub Minar is in Delhi. (Ref: 823),History
Wearing a helmet reduces head injury risk. (Ref: 2373),Science
Explain Mendel’s law of inheritance. (Ref: 778),Science
Define the principle of buoyancy. (Ref: 1588),Science
The Qutub Minar is in Delhi. (Ref: 82),History
She scored 85 out of 100 in maths. (Ref: 823),Maths
I enjoy reading novels before bed. (Ref: 154),English
Describe how vaccines work. (Ref: 404),Science
Turning off lights saves energy. (Ref: 420),Science
What is the function of an adverb in a sentence? (Ref: 772),English
Rewrite the sentence in passive voice. (Ref: 1549),English
Wearing a helmet reduces head injury risk. (Ref: 872),Science
Solve: 3x - 4 = 11 (Ref: 1696),Maths
I usually take the bus to school. (Ref: 451),English
It's going to rain later today. (Ref: 291),English
Rewrite the sentence in passive voice. (Ref: 1419),English
Turning off lights saves energy. (Ref: 2259),Science
What is the area of a triangle with base 5cm and height 4cm? (Ref: 1610),Maths
The cake was divided into 8 equal parts. (Ref: 1047),Maths
How do you use the present perfect tense? (Ref: 565),English
Solve: 3x - 4 = 11 (Ref: 1447),Maths
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 1179),Maths
Trees produce oxygen through photosynthesis. (Ref: 1847),Science
Let’s catch up after the class ends. (Ref: 1120),English
She loves drinking coffee in the morning. (Ref: 778),English
Define a rational number. (Ref: 1008),Maths
Describe the conquests of Samudragupta. (Ref: 1428),History
Do you want to join us for lunch? (Ref: 151),English
What is the pH scale used for? (Ref: 1876),Science
What was the significance of the Battle of Panipat? (Ref: 407),History
Wearing a helmet reduces head injury risk. (Ref: 478),Science
State Newton’s second law of motion. (Ref: 569),Science
Explain the distributive property. (Ref: 1116),Maths
Describe the conquests of Samudragupta. (Ref: 1480),History
Do you want to join us for lunch? (Ref: 146),English
Define a rational number. (Ref: 2296),Maths
He saved ₹200 from his monthly allowance. (Ref: 1892),Maths
Explain Mendel’s law of inheritance. (Ref: 290),Science
Washing hands prevents disease spread. (Ref: 465),Science
She loves drinking coffee in the morning. (Ref: 429),English
Wearing a helmet reduces head injury risk. (Ref: 425),Science
What is the pH scale used for? (Ref: 944),Science
Describe the impact of Akbar’s rule in India. (Ref: 2499),History
Explain the distributive property. (Ref: 1543),Maths
What is the difference between mass and weight? (Ref: 1122),Science
Choose the correct article for this noun. (Ref: 1074),English
Buddha attained enlightenment in Bodh Gaya. (Ref: 1743),History
What is the quadratic formula? (Ref: 30),Maths
What is the probability of rolling a 3 on a die? (Ref: 2052),Maths
What is the probability of rolling a 3 on a die? (Ref: 966),Maths
I'm planning to visit the library today. (Ref: 1679),English
Boiling water kills most bacteria. (Ref: 1663),Science
Describe the impact of Akbar’s rule in India. (Ref: 1710),History
What is the function of an adverb in a sentence? (Ref: 1557),English
What is the law of conservation of mass? (Ref: 1859),Science
The sun is a natural source of light. (Ref: 1942),Science
The cake was divided into 8 equal parts. (Ref: 540),Maths
Choose the correct article for this noun. (Ref: 2271),English
Wearing a helmet reduces head injury risk. (Ref: 650),Science
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 811),History
Explain the administration under Ashoka. (Ref: 562),History
Ancient Indian temples show architectural brilliance. (Ref: 1354),History
I counted 12 birds on the tree. (Ref: 37),Maths
Boiling water kills most bacteria. (Ref: 1446),Science
Turning off lights saves energy. (Ref: 1179),Science
I enjoy reading novels before bed. (Ref: 649),English
Washing hands prevents disease spread. (Ref: 2262),Science
Trees produce oxygen through photosynthesis. (Ref: 1146),Science
What is the area of a triangle with base 5cm and height 4cm? (Ref: 2250),Maths
What is the pH scale used for? (Ref: 516),Science
I paid ₹120 for 2 books. (Ref: 1702),Maths
Plastic takes centuries to decompose. (Ref: 2131),Science
Describe the conquests of Samudragupta. (Ref: 44),History
I usually take the bus to school. (Ref: 1830),English
He's been learning French recently. (Ref: 2362),English
Turning off lights saves energy. (Ref: 1466),Science
Boiling water kills most bacteria. (Ref: 623),Science
The train takes 3 hours to reach Delhi. (Ref: 1396),Maths
We shared the pizza equally among 4 people. (Ref: 185),Maths
He ran 5 km in the morning. (Ref: 464),Maths
Fruits contain natural sugars and vitamins. (Ref: 1618),Science
The train takes 3 hours to reach Delhi. (Ref: 1756),Maths
What is the law of conservation of mass? (Ref: 1213),Science
I usually take the bus to school. (Ref: 1349),English
I paid ₹120 for 2 books. (Ref: 2133),Maths
Can you help me carry this bag? (Ref: 912),English
Salt dissolves faster in hot water. (Ref: 195),Science
Identify the verb in this sentence. (Ref: 1071),English
He's been learning French recently. (Ref: 796),English
Explain the rule of Rajaraja Chola. (Ref: 14),History
Boiling water kills most bacteria. (Ref: 412),Science
We shared the pizza equally among 4 people. (Ref: 302),Maths
I enjoy reading novels before bed. (Ref: 1432),English
I'm planning to visit the library today. (Ref: 200),English
She bought 3 apples for ₹15 each. (Ref: 748),Maths
Magnets can attract some metals. (Ref: 1359),Science
State the Pythagorean theorem. (Ref: 1118),Maths
Correct the grammatical error in this statement. (Ref: 1098),English
Tipu Sultan fought bravely against the British. (Ref: 869),History
What is the law of conservation of mass? (Ref: 1038),Science
She scored 85 out of 100 in maths. (Ref: 551),Maths
The Qutub Minar is in Delhi. (Ref: 1665),History
Calculate the volume of a cube with side 3cm. (Ref: 1877),Maths
Explain the distributive property. (Ref: 1839),Maths
What is the area of a triangle with base 5cm and height 4cm? (Ref: 854),Maths
Solve: 3x - 4 = 11 (Ref: 2390),Maths
Use 'however' in a complex sentence. (Ref: 452),English
Tipu Sultan fought bravely against the British. (Ref: 1736),History
What is the structure of an atom? (Ref: 545),Science
How did Shivaji Maharaj defend his forts? (Ref: 219),History
Ashoka embraced Buddhism after the Kalinga war. (Ref: 699),History
The Maratha empire resisted the Mughals. (Ref: 1816),History
I paid ₹120 for 2 books. (Ref: 1173),Maths
Explain Mendel’s law of inheritance. (Ref: 447),Science
Explain Mendel’s law of inheritance. (Ref: 659),Science
She scored 85 out of 100 in maths. (Ref: 1488),Maths
Let’s catch up after the class ends. (Ref: 71),English
The sun is a natural source of light. (Ref: 875),Science
Define a rational number. (Ref: 904),Maths
Turning off lights saves energy. (Ref: 980),Science
They travelled 250 km in 5 hours. (Ref: 24),Maths
Discuss the contributions of the Gupta Empire. (Ref: 1638),History
We shared the pizza equally among 4 people. (Ref: 2314),Maths
Correct the grammatical error in this statement. (Ref: 1889),English
Do you want to join us for lunch? (Ref: 1643),English
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 1366),History
I usually take the bus to school. (Ref: 2127),English
Where did you go during the weekend? (Ref: 577),English
How do you use the present perfect tense? (Ref: 1062),English
Where did you go during the weekend? (Ref: 632),English
What is a compound-complex sentence? (Ref: 2076),English
What is the difference between mass and weight? (Ref: 247),Science
The Qutub Minar is in Delhi. (Ref: 1991),History
She bought 3 apples for ₹15 each. (Ref: 1095),Maths
The cake was divided into 8 equal parts. (Ref: 1036),Maths
I paid ₹120 for 2 books. (Ref: 805),Maths
Tipu Sultan fought bravely against the British. (Ref: 322),History
What is the structure of an atom? (Ref: 2084),Science
Describe the achievements of Chandragupta Maurya. (Ref: 594),History
What is the law of conservation of mass? (Ref: 1194),Science
Define the principle of buoyancy. (Ref: 365),Science
Turning off lights saves energy. (Ref: 1940),Science
Ashoka embraced Buddhism after the Kalinga war. (Ref: 924),History
Identify the verb in this sentence. (Ref: 1874),English
What is the quadratic formula? (Ref: 578),Maths
Define a rational number. (Ref: 524),Maths
Rewrite the sentence in passive voice. (Ref: 1959),English
He ran 5 km in the morning. (Ref: 956),Maths
Trees produce oxygen through photosynthesis. (Ref: 906),Science
What was the significance of the Battle of Panipat? (Ref: 283),History
What is the correct punctuation for this dialogue? (Ref: 62),English
I paid ₹120 for 2 books. (Ref: 794),Maths
The Qutub Minar is in Delhi. (Ref: 78),History
Boiling water kills most bacteria. (Ref: 1396),Science
Define the principle of buoyancy. (Ref: 1410),Science
The cake was divided into 8 equal parts. (Ref: 1139),Maths
Solve: 3x - 4 = 11 (Ref: 1854),Maths
Can you help me carry this bag? (Ref: 1312),English
She loves drinking coffee in the morning. (Ref: 408),English
Let’s catch up after the class ends. (Ref: 1452),English
Where did you go during the weekend? (Ref: 675),English
How did Shivaji Maharaj defend his forts? (Ref: 252),History
I paid ₹120 for 2 books. (Ref: 1592),Maths
She bought 3 apples for ₹15 each. (Ref: 345),Maths
Trees produce oxygen through photosynthesis. (Ref: 1908),Science
Solve: 3x - 4 = 11 (Ref: 538),Maths
State the Pythagorean theorem. (Ref: 138),Maths
Magnets can attract some metals. (Ref: 585),Science
Let’s catch up after the class ends. (Ref: 1551),English
Choose the correct article for this noun. (Ref: 201),English
She scored 85 out of 100 in maths. (Ref: 1577),Maths
Washing hands prevents disease spread. (Ref: 731),Science
Explain Ohm's law with an example. (Ref: 1750),Science
The Red Fort was built by Shah Jahan. (Ref: 53),History
Do you want to join us for lunch? (Ref: 975),English
The train takes 3 hours to reach Delhi. (Ref: 1655),Maths
She scored 85 out of 100 in maths. (Ref: 2066),Maths
Explain Ohm's law with an example. (Ref: 342),Science
The Mauryas unified large parts of India. (Ref: 76),History
I enjoy reading novels before bed. (Ref: 2283),English
Define the principle of buoyancy. (Ref: 1989),Science
Magnets can attract some metals. (Ref: 1910),Science
Use 'however' in a complex sentence. (Ref: 2269),English
Rewrite the sentence in passive voice. (Ref: 434),English
She bought 3 apples for ₹15 each. (Ref: 697),Maths
Explain the administration under Ashoka. (Ref: 1684),History
Calculate the volume of a cube with side 3cm. (Ref: 1615),Maths
Discuss the contributions of the Gupta Empire. (Ref: 1285),History
The Maratha empire resisted the Mughals. (Ref: 1449),History
Plastic takes centuries to decompose. (Ref: 1515),Science
Boiling water kills most bacteria. (Ref: 633),Science
Explain the administration under Ashoka. (Ref: 397),History
I paid ₹120 for 2 books. (Ref: 1207),Maths
Where did you go during the weekend? (Ref: 725),English
The Maratha empire resisted the Mughals. (Ref: 2023),History
It's going to rain later today. (Ref: 90),English
Rewrite the sentence in passive voice. (Ref: 50),English
She bought 3 apples for ₹15 each. (Ref: 291),Maths
Boiling water kills most bacteria. (Ref: 961),Science
Correct the grammatical error in this statement. (Ref: 1142),English
Tipu Sultan fought bravely against the British. (Ref: 2380),History
Turning off lights saves energy. (Ref: 1494),Science
Describe the water cycle. (Ref: 2185),Science
Let’s catch up after the class ends. (Ref: 1076),English
Discuss the contributions of the Gupta Empire. (Ref: 249),History
The Red Fort was built by Shah Jahan. (Ref: 71),History
What is the structure of an atom? (Ref: 1890),Science
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 462),Maths
Describe the water cycle. (Ref: 1337),Science
Buddha attained enlightenment in Bodh Gaya. (Ref: 1289),History
Describe the water cycle. (Ref: 1023),Science
The Maratha empire resisted the Mughals. (Ref: 117),History
Salt dissolves faster in hot water. (Ref: 2170),Science
He ran 5 km in the morning. (Ref: 62),Maths
Simplify the expression: (x^2 - 4)/(x - 2) (Ref: 1575),Maths
Calculate the volume of a cube with side 3cm. (Ref: 1784),Maths
I counted 12 birds on the tree. (Ref: 326),Maths
He saved ₹200 from his monthly allowance. (Ref: 320),Maths
She scored 85 out of 100 in maths. (Ref: 1827),Maths
Ashoka embraced Buddhism after the Kalinga war. (Ref: 783),History
The Qutub Minar is in Delhi. (Ref: 1987),History
He ran 5 km in the morning. (Ref: 1587),Maths
Salt dissolves faster in hot water. (Ref: 323),Science
Describe how vaccines work. (Ref: 2007),Science
Explain the distributive property. (Ref: 691),Maths
Describe how vaccines work. (Ref: 760),Science
What is the area of a triangle with base 5cm and height 4cm? (Ref: 1314),Maths
What is the correct punctuation for this dialogue? (Ref: 900),English
I counted 12 birds on the tree. (Ref: 1692),Maths
Describe the impact of Akbar’s rule in India. (Ref: 453),History
Ancient Indian temples show architectural brilliance. (Ref: 878),History
Explain Mendel’s law of inheritance. (Ref: 684),Science
Magnets can attract some metals. (Ref: 1774),Science
Buddha attained enlightenment in Bodh Gaya. (Ref: 45),History
Tipu Sultan fought bravely against the British. (Ref: 119),History
Explain the rule of Rajaraja Chola. (Ref: 10),History
I enjoy reading novels before bed. (Ref: 1413),English
Define the principle of buoyancy. (Ref: 1613),Science
Let’s catch up after the class ends. (Ref: 2342),English
How did Shivaji Maharaj defend his forts? (Ref: 226),History
The Maratha empire resisted the Mughals. (Ref: 343),History
What is the structure of an atom? (Ref: 1343),Science
Discuss the contributions of the Gupta Empire. (Ref: 1910),History
Calculate the volume of a cube with side 3cm. (Ref: 1378),Maths
She bought 3 apples for ₹15 each. (Ref: 1799),Maths
Describe the conquests of Samudragupta. (Ref: 774),History
Chhatrapati Shivaji Maharaj is celebrated for his valor. (Ref: 94),History
They travelled 250 km in 5 hours. (Ref: 784),Maths
Describe the water cycle. (Ref: 1403),Science
She scored 85 out of 100 in maths. (Ref: 243),Maths
He saved ₹200 from his monthly allowance. (Ref: 623),Maths
I'm planning to visit the library today. (Ref: 1345),English
Let’s catch up after the class ends. (Ref: 99),English
How do you use the present perfect tense? (Ref: 135),English
The Maratha empire resisted the Mughals. (Ref: 1694),History
The Qutub Minar is in Delhi. (Ref: 2114),History
What is the quadratic formula? (Ref: 1418),Maths
The Maratha empire resisted the Mughals. (Ref: 2464),History
Magnets can attract some metals. (Ref: 125),Science
What is the law of conservation of mass? (Ref: 1987),Science
How do you use the present perfect tense? (Ref: 1862),English
Define the principle of buoyancy. (Ref: 1545),Science
Rewrite the sentence in passive voice. (Ref: 661),English
She bought 3 apples for ₹15 each. (Ref: 806),Maths
Describe the conquests of Samudragupta. (Ref: 527),History
Explain the rule of Rajaraja Chola. (Ref: 1933),History
Tipu Sultan fought bravely against the British. (Ref: 2092),History
Calculate the volume of a cube with side 3cm. (Ref: 1225),Maths
Calculate the volume of a cube with side 3cm. (Ref: 642),Maths
I enjoy reading novels before bed. (Ref: 1065),English
He ran 5 km in the morning. (Ref: 84),Maths
Explain the rule of Rajaraja Chola. (Ref: 105),History
The Red Fort was built by Shah Jahan. (Ref: 1017),History
The Indus Valley had planned drainage systems. (Ref: 1623),History
She bought 3 apples for ₹15 each. (Ref: 386),Maths
It's going to rain later today. (Ref: 295),English
What is the law of conservation of mass? (Ref: 123),Science
The Red Fort was built by Shah Jahan. (Ref: 1258),History
I counted 12 birds on the tree. (Ref: 1744),Maths
Solve: 3x - 4 = 11 (Ref: 2284),Maths
Fruits contain natural sugars and vitamins. (Ref: 26),Science
Tipu Sultan fought bravely against the British. (Ref: 684),History
I counted 12 birds on the tree. (Ref: 837),Maths
They travelled 250 km in 5 hours. (Ref: 1843),Maths
The Mauryas unified large parts of India. (Ref: 1371),History
Convert this direct speech to reported speech. (Ref: 2456),English
Convert this direct speech to reported speech. (Ref: 894),English
Identify the verb in this sentence. (Ref: 1393),English
Use 'however' in a complex sentence. (Ref: 694),English
Trees produce oxygen through photosynthesis. (Ref: 104),Science
What is the area of a triangle with base 5cm and height 4cm? (Ref: 1489),Maths
What was the significance of the Battle of Panipat? (Ref: 323),History
I counted 12 birds on the tree. (Ref: 826),Maths
What is the pH scale used for? (Ref: 1524),Science
Explain Mendel’s law of inheritance. (Ref: 1681),Science
Explain Mendel’s law of inheritance. (Ref: 398),Science
She loves drinking coffee in the morning. (Ref: 60),English
Let’s catch up after the class ends. (Ref: 720),English
Describe the conquests of Samudragupta. (Ref: 2037),History
Do you want to join us for lunch? (Ref: 659),English
The Indus Valley had planned drainage systems. (Ref: 778),History
Fruits contain natural sugars and vitamins. (Ref: 92),Science
The Maratha empire resisted the Mughals. (Ref: 2058),History
Buddha attained enlightenment in Bodh Gaya. (Ref: 1210),History
Convert 0.75 into a fraction. (Ref: 1141),Maths
Trees produce oxygen through photosynthesis. (Ref: 210),Science
Describe the achievements of Chandragupta Maurya. (Ref: 2192),History
Describe the water cycle. (Ref: 1851),Science
She loves drinking coffee in the morning. (Ref: 1030),English
The Maratha empire resisted the Mughals. (Ref: 2027),History
Describe the achievements of Chandragupta Maurya. (Ref: 1417),History
Let’s catch up after the class ends. (Ref: 1194),English
Describe the water cycle. (Ref: 2415),Science
The sun is a natural source of light. (Ref: 2085),Science
How did Shivaji Maharaj defend his forts? (Ref: 1306),History
She loves drinking coffee in the morning. (Ref: 1965),English
What is a compound-complex sentence? (Ref: 1759),English
What is the pH scale used for? (Ref: 27),Science
Explain the administration under Ashoka. (Ref: 1935),History
Explain Ohm's law with an example. (Ref: 504),Science
Turning off lights saves energy. (Ref: 434),Science
Washing hands prevents disease spread. (Ref: 1792),Science
Identify the verb in this sentence. (Ref: 45),English
What is the correct punctuation for this dialogue? (Ref: 464),English
She bought 3 apples for ₹15 each. (Ref: 2381),Maths
He saved ₹200 from his monthly allowance. (Ref: 555),Maths
Describe the water cycle. (Ref: 2368),Science
Salt dissolves faster in hot water. (Ref: 1526),Science
Explain Mendel’s law of inheritance. (Ref: 801),Science
What is the function of an adverb in a sentence? (Ref: 2480),English
The Mauryas unified large parts of India. (Ref: 956),History
The Maratha empire resisted the Mughals. (Ref: 1286),History
What is the correct punctuation for this dialogue? (Ref: 2077),English
State Newton’s second law of motion. (Ref: 2349),Science
I'm planning to visit the library today. (Ref: 346),English
Explain Ohm's law with an example. (Ref: 593),Science
Choose the correct article for this noun. (Ref: 393),English
What led to the decline of the Maurya Empire? (Ref: 571),History
Identify the verb in this sentence. (Ref: 596),English
Can you help me carry this bag? (Ref: 865),English
What is the law of conservation of mass? (Ref: 1084),Science
Explain the distributive property. (Ref: 27),Maths
Convert 0.75 into a fraction. (Ref: 81),Maths
Buddha attained enlightenment in Bodh Gaya. (Ref: 111),History
Ashoka embraced Buddhism after the Kalinga war. (Ref: 1104),History
We shared the pizza equally among 4 people. (Ref: 1052),Maths
What was the significance of the Battle of Panipat? (Ref: 348),History
Identify the verb in this sentence. (Ref: 1564),English
He's been learning French recently. (Ref: 583),English
Wearing a helmet reduces head injury risk. (Ref: 1366),Science
Washing hands prevents disease spread. (Ref: 952),Science
It's going to rain later today. (Ref: 584),English
